Variable,Series_Name,Series_template,Factor,notes,notes_variable
Price|Final Energy|Transportation|Electricity,trn elc price,prce_real_trn_NA_elc_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Transportation|Oil|Jet Fuel,trn jet fuel price,prce_real_trn_NA_jfl_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Transportation|Oil|Gasoline,trn gasoline price,prce_real_trn_NA_mgs_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Transportation|Gas,trn gas price,prce_real_trn_NA_ng_NA_NA_y13dlrpmmbtu,1,,
Primary Energy|Coal,Total Energy : Production : Coal,sup_prd_ten_NA_cl_NA_usa_qbtu,1,,
Primary Energy|Fossil,Total Energy : Production : Coal,sup_prd_ten_NA_cl_NA_usa_qbtu,1,,
Primary Energy|Fossil,Total Energy : Production : Crude Oil and Lease Condensate,sup_prd_ten_NA_clc_NA_usa_qbtu,1,,
Primary Energy|Fossil,Total Energy : Production : Dry Natural Gas,sup_prd_ten_NA_dng_NA_usa_qbtu,1,,
Primary Energy|Fossil,Total Energy : Production : Natural Gas Plant Liquids,sup_prd_ten_NA_ngp_NA_usa_qbtu,1,,
Primary Energy|Nuclear,Total Energy : Production : Nuclear,sup_prd_ten_NA_nuc_NA_usa_qbtu,1,,
Primary Energy,Total Energy : Production : Total,sup_prd_ten_NA_tot_NA_usa_qbtu,1,,
Primary Energy|Coal,Total Energy : Exports : Coal,trad_exp_ten_NA_cl_NA_usa_qbtu,-1,,
Primary Energy|Fossil,Total Energy : Exports : Coal,trad_exp_ten_NA_cl_NA_usa_qbtu,-1,not in template anymore,Primary Energy|Coal|Electricity
Primary Energy|Fossil,Total Energy : Exports : Natural Gas,trad_exp_ten_NA_ng_NA_usa_qbtu,-1,,
Primary Energy|Fossil,Total Energy : Exports : Petroleum,trad_exp_ten_NA_pet_NA_usa_qbtu,-1,,
Primary Energy,Total Energy : Exports : Total,trad_exp_ten_NA_tot_NA_usa_qbtu,-1,subtract out exports,
Primary Energy|Fossil,Total Energy : Imports : Crude Oil,trad_imp_ten_NA_cr_NA_usa_qbtu,1,,
Primary Energy|Fossil,Total Energy : Imports : Liquid Fuels,trad_imp_ten_NA_lfl_NA_usa_qbtu,1,,
Primary Energy|Fossil,Total Energy : Imports : Natural Gas,trad_imp_ten_NA_ng_NA_usa_qbtu,1,,
Primary Energy,Total Energy : Imports : Total,trad_imp_ten_NA_tot_NA_usa_qbtu,1,,
,Electricity : Net Imports,trad_NA_elep_NA_netimp_NA_usa_blnkwh,1,not in EMF37 template,Secondary Energy|Electricity|Imports
